StartIndst,FinalIndst,Counts
8610,9311,13
8542,9311,13
8211,8211,13
8610,5510,13
7810,5510,13
6430,6499,13
8299,8559,13
8541,8559,13
6832,8110,13
8542,8110,13
6419,6612,13
4120,4711,13
7112,4711,13
7022,4711,13
8129,5223,13
5610,4764,13
8299,4771,13
4777,4771,13
7820,2120,13
4711,4729,13
4711,4772,13
7820,4931,13
7820,2221,13
5510,4719,13
7911,5110,13
8520,8425,13
8010,8424,13
4771,9200,13
6209,6190,13
4725,4725,13
6419,6492,13
610,610,13
4799,4799,13
4763,4763,13
6622,7820,12
4673,7820,12
9312,7820,12
4520,7820,12
4649,7820,12
4754,7820,12
9200,7820,12
8299,8730,12
4719,8730,12
6419,6910,12
5629,7010,12
8121,6820,12
6831,6820,12
8532,8610,12
9200,8610,12
4120,6920,12
5510,6920,12
1392,1392,12
8121,6832,12
7820,6832,12
9312,8899,12
7022,6201,12
6920,5210,12
5229,5210,12
7820,6619,12
6622,6619,12
6920,4120,12
9499,5630,12
8810,5630,12
4752,5630,12
4776,5630,12
4764,5630,12
7010,8520,12
8623,8520,12
4511,8520,12
4222,8520,12
6820,8790,12
4719,8790,12
8810,8531,12
9311,8531,12
6820,8542,12
4759,4673,12
4639,4941,12
4645,4941,12
7111,7112,12
2651,7112,12
4771,7112,12
8899,8621,12
8790,8621,12
8610,8010,12
5629,8010,12
5221,8690,12
8520,4299,12
4399,4299,12
4711,4299,12
8110,8810,12
4511,7711,12
8219,8219,12
8411,6202,12
4321,6202,12
4711,6209,12
6920,5610,12
9602,5610,12
4730,5610,12
4776,5610,12
4764,5610,12
5530,5610,12
8610,7810,12
7810,7022,12
8411,7022,12
7490,7022,12
8121,8411,12
4719,8411,12
5610,4778,12
9609,8299,12
7112,8299,12
5510,8299,12
4711,9602,12
5510,4511,12
6910,6512,12
4711,4690,12
6820,9311,12
4941,5320,12
8559,8541,12
4771,8220,12
2521,8220,12
8520,8129,12
8520,4520,12
7820,4674,12
5610,8559,12
4771,8559,12
5610,4639,12
2611,2651,12
6622,6629,12
4711,6629,12
7490,9700,12
8299,8110,12
8129,8110,12
4321,8110,12
4711,4754,12
4690,4711,12
8220,4711,12
4729,4711,12
5914,4711,12
7820,6120,12
6419,6511,12
5630,4776,12
5510,4776,12
8542,9102,12
4511,4519,12
2630,2630,12
7820,3030,12
5610,4931,12
4724,1071,12
4663,4663,12
9003,9003,12
4711,5813,12
9411,9411,12
1039,1039,12
5610,8424,12
8411,8424,12
8520,9200,12
1085,1013,12
4742,6190,12
4778,4777,12
6399,6399,12
6820,8121,11
4771,8121,11
5621,7820,11
1071,7820,11
8690,8891,11
5510,8891,11
4771,8730,11
6820,6910,11
7010,8610,11
6820,8610,11
4711,6832,11
7810,8899,11
8621,8622,11
7820,6201,11
4634,5210,11
6511,6622,11
6499,6619,11
7420,7420,11
8121,4120,11
5630,4120,11
5610,4120,11
4719,8710,11
8299,5630,11
8110,5630,11
4759,8520,11
9602,8520,11
8423,8520,11
4772,8520,11
8531,8790,11
8411,8790,11
8299,8531,11
9700,8531,11
8891,8542,11
8520,4941,11
2562,7112,11
8710,8621,11
8412,8621,11
1089,1084,11
8531,8810,11
4711,7711,11
4721,4721,11
8610,6202,11
4771,6202,11
7810,5610,11
8110,4322,11
4711,4322,11
8899,5621,11
8531,5621,11
8121,7810,11
5510,7810,11
8559,7810,11
6201,7022,11
5630,7022,11
9700,8411,11
2361,2361,11
6201,8299,11
8610,9312,11
5610,8532,11
8610,8623,11
5630,8623,11
5610,8623,11
7820,4399,11
7732,4399,11
7820,7739,11
8520,4724,11
7820,9311,11
7820,4631,11
8531,8541,11
5510,5520,11
8520,4321,11
5610,4730,11
8810,5510,11
5520,5510,11
5610,4775,11
8411,8559,11
4711,7311,11
4771,7311,11
4771,4752,11
2030,4752,11
3101,3101,11
5610,4754,11
7810,4711,11
8559,4711,11
7490,4711,11
4725,4711,11
6190,6120,11
7820,8412,11
4711,8510,11
8520,4776,11
5621,4771,11
6612,6419,11
8531,5629,11
8520,4773,11
7820,2740,11
4773,4719,11
4772,4719,11
1091,147,11
8610,8424,11
8423,8424,11
1089,1089,11
8121,9200,11
7820,9200,11
5610,5914,11
6419,2910,11
7112,6190,11
5610,6190,11
7022,6190,11
7820,6492,11
8220,6492,11
3313,3313,11
4711,9313,11
3020,3020,11
4772,1520,11
6202,3315,11
8411,8430,11
8542,8121,10
9312,8121,10
4669,7820,10
4791,7820,10
9311,7820,10
8541,7820,10
8292,7820,10
8424,7820,10
8121,8891,10
9499,8891,10
4719,8891,10
8720,8730,10
5629,8730,10
8899,6910,10
5630,7010,10
4673,7010,10
8423,8610,10
9313,8610,10
6202,6920,10
4120,6832,10
5510,6832,10
7311,7320,10
8121,8899,10
8622,8622,10
8520,6201,10
5610,6201,10
6190,6201,10
4771,6831,10
7820,6622,10
8220,6622,10
7820,9499,10
8299,9609,10
4334,4120,10
4321,4120,10
2229,2932,10
8891,8710,10
8899,5630,10
8559,5630,10
4941,8520,10
9329,8520,10
4299,8520,10
4775,8520,10
4931,8520,10
8122,8520,10
8425,8520,10
8121,8790,10
8532,8790,10
5510,8790,10
4711,3600,10
9491,8531,10
8560,8531,10
6910,8542,10
5621,8542,10
7810,8542,10
7022,8542,10
5510,8542,10
8110,8542,10
9102,8542,10
5629,8542,10
3811,4941,10
4719,4941,10
6920,7112,10
4120,7112,10
4299,7112,10
4532,4531,10
5510,8010,10
4719,4759,10
7022,8690,10
8220,8690,10
4941,3811,10
4719,8810,10
6311,6202,10
6831,5610,10
8690,5610,10
9700,5610,10
5630,4791,10
4711,4791,10
4771,5621,10
8542,7810,10
4771,7810,10
6492,7022,10
3811,8411,10
6619,8299,10
8531,8299,10
8411,8299,10
4771,8299,10
8891,9312,10
4719,9312,10
8299,8532,10
9312,8532,10
5320,5229,10
4299,4211,10
4771,8623,10
7112,2562,10
8520,4511,10
4719,4511,10
8810,9311,10
5621,9311,10
4673,1623,10
8110,8129,10
7820,4520,10
8710,5510,10
9312,5510,10
9311,5510,10
8559,5510,10
4645,4775,10
8891,8559,10
7022,7311,10
4676,8292,10
8520,4752,10
7712,7712,10
7022,7490,10
8299,7490,10
4711,7490,10
150,150,10
8411,9700,10
4322,8110,10
5629,8110,10
6910,8423,10
2822,2822,10
6910,4711,10
4673,4711,10
8532,4711,10
4520,4711,10
9601,4711,10
8621,8412,10
8121,4771,10
8411,4771,10
4754,4771,10
4762,4771,10
8220,6419,10
6492,6419,10
4647,4647,10
8610,5629,10
8542,5629,10
8520,5310,10
5610,5310,10
8610,4773,10
8810,4773,10
6202,9511,10
7219,7220,10
7820,4675,10
7810,1071,10
1085,1071,10
4778,4719,10
8520,8122,10
4711,4645,10
7721,7721,10
8411,8425,10
1107,1039,10
5210,4646,10
2120,4646,10
4771,8424,10
8020,8020,10
8220,2521,10
4711,4779,10
4711,2910,10
8520,6190,10
8220,6190,10
5610,4777,10
1071,1072,10
8299,6492,10
8299,4635,10
6611,6611,10
6630,6430,10
5610,9313,10
5912,5912,10
4711,4910,10
5020,5020,10
5911,6020,10
