,Id,SubActivity,MainActivity,MainIndustry
163,1713,Preparation and spinning of worsted-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
164,1714,Preparation and spinning of flax-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
165,1715,"Throwing and preparation of silk, including from noils, and throwing and texturing of synthetic or artificial filament yarns",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
166,1716,Manufacture of sewing threads,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
167,1717,Preparation and spinning of other textile fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
168,1721,Cotton-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
169,1722,Woollen-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
170,1723,Worsted-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
171,1724,Silk-type weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
172,1725,Other textile weaving,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
173,1730,Finishing of textiles,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
176,1740,"Manufacture of soft furnishings, manufacture of canvas goods, sacks, etc.,Manufacture of household textiles",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
592,1740,"Manufacture of canvas goods, sacks, etc.",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
179,1751,Manufacture of woven/tufted/other carpets and rugs,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
182,1752,"Manufacture of cordage, rope, twine and netting",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
183,1753,"Manufacture of non-wovens and articles made from non-wovens, except apparel",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
184,1754,Manufacture of narrow fabricsManufacture of other textiles n.e.c.Manufacture of lace,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
175,1760,Manufacture of knitted and crocheted fabrics,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
196,1771,Manufacture of knitted and crocheted hosiery,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
202,1772,"Manufacture of knitted and crocheted pullovers, cardigans and similar articles",Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
190,1810,Manufacture of leather clothes,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
191,1821,Manufacture of workwear,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
192,1822,Manufacture of other men's outerwear Manufacture of other women's outerwear,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
194,1823,Manufacture of men's underwear Manufacture of women's underwear,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
197,1824,Manufacture of hats Cut make and trim for clothing manufacturers Manufacture of other wearing apparel and accessories n.e.c.,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
200,1830,Dressing and dyeing of fur; manufacture of articles of fur,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
204,1910,Tanning and dressing of leather,Manufacture of Leather & Leather Products,Manufacture of Textiles and Leather
205,1920,"Manufacture of luggage, handbags and the like, saddlery and harness",Manufacture of Leather & Leather Products,Manufacture of Textiles and Leather
207,1930,Manufacture of footwear,Manufacture of Leather & Leather Products,Manufacture of Textiles and Leather
209,2010,Sawmilling and planing of wood; impregnation of wood,Manufacture of Wood & Wood Product,
210,2020,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards",Manufacture of Wood & Wood Product,
211,2030,Manufacture of builders' carpentry and joinery,Manufacture of Wood & Wood Product,
213,2040,Manufacture of wooden containers,Manufacture of Wood & Wood Product,
215,2051,Manufacture of other products of wood,Manufacture of Wood & Wood Product,
216,2052,"Manufacture of articles of cork, straw and plaiting materials",Manufacture Paper; Publishing; Printing,
218,2111,Manufacture of pulp,Manufacture Paper; Publishing; Printing,
219,2112,"Manufacture of paper and paperboard, cartons, boxes and cases of corrugated paper and paperboard,and similar containers of paper and paperboard specifically designed for carrying liquids, whether or not waxed",Manufacture Paper; Publishing; Printing,
224,2121,Manufacture of other containers,Manufacture Paper; Publishing; Printing,
226,2122,Manufacture of household and sanitary goods and of toilet requisites,Manufacture Paper; Publishing; Printing,
227,2123,Manufacture of paper stationery,Manufacture Paper; Publishing; Printing,
229,2124,Manufacture of wallpaper,Manufacture Paper; Publishing; Printing,
230,2125,Manufacture of unprinted labels Manufacture of other articles of paper and paperboard n.e.c. Manufacture of printed labels,Manufacture Paper; Publishing; Printing,
521,2211,Publishing of books,Manufacture Paper; Publishing; Printing,
965,2212,Publishing of newspapers,Manufacture Paper; Publishing; Printing,
967,2213,Publishing of journals and periodicals,Manufacture Paper; Publishing; Printing,
988,2214,Publishing of sound recordings,Manufacture Paper; Publishing; Printing,
971,2215,Other publishing,Manufacture Paper; Publishing; Printing,
233,2221,Printing of newspapers,Manufacture Paper; Publishing; Printing,
228,2222,Other printing,Manufacture Paper; Publishing; Printing,
236,2222,Other printing,Manufacture Paper; Publishing; Printing,
239,2223,Bookbinding,Manufacture Paper; Publishing; Printing,
237,2224,Pre-press activities,Manufacture Paper; Publishing; Printing,
238,2225,Ancillary activities related to printing,Manufacture Paper; Publishing; Printing,
240,2231,Reproduction of sound recording,Manufacture Paper; Publishing; Printing,
241,2232,Reproduction of video recording,Manufacture Paper; Publishing; Printing,
242,2233,Reproduction of computer media,Manufacture Paper; Publishing; Printing,
243,2310,Manufacture of coke oven products,Manufacture Paper; Publishing; Printing,
248,2320,Mineral oil refining,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
249,2320,Other treatment of petroleum products (excluding petrochemicals manufacture),"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
252,2330,Processing of nuclear fuel,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
250,2411,Manufacture of industrial gases,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
251,2412,Manufacture of dyes and pigments,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
253,2413,Manufacture of other inorganic basic chemicals,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
244,2414,Manufacture of other organic basic chemicals,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
256,2415,Manufacture of fertilizers and nitrogen compounds,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
257,2416,Manufacture of plastics in primary forms,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
258,2417,Manufacture of synthetic rubber in primary forms,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
259,2420,Manufacture of pesticides and other agro-chemical products,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
260,2430,"Manufacture of paints, varnishes and similar coatings, Manufacture of mastics and sealants,Manufacture of printing ink","Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
275,2441,Manufacture of basic pharmaceutical products,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
277,2442,Manufacture of medicaments,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
507,2442,Manufacture of non-medicaments,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
263,2451,"Manufacture of soap and detergents,  cleaning and polishing preparations , perfumes and toilet preparations","Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
267,2461,Manufacture of explosives,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
269,2462,Manufacture of glues and gelatines,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
270,2463,Manufacture of essential oils,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
272,2464,Manufacture of photographic chemical material,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
393,2465,Manufacture of prepared unrecorded media,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
273,2466,Manufacture of other chemical products n.e.c.,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
274,2470,Manufacture of man-made fibres,"Manufacture Chemicals, Prods & Man-Made",Manufacture Chemicals/Plastics
278,2511,Manufacture of rubber tyres and tubes,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
279,2512,Retreading and rebuilding of rubber tyres,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
281,2513,Manufacture of other rubber products,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
284,2521,"Manufacture of plastic plates, sheets, tubes and profiles",Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
285,2522,Manufacture of plastic packing goods,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
286,2523,"Manufacture of plastic floor covering,Manufacture of other builders' ware of plastic",Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
290,2524,Manufacture of other plastic products,Manufacture of Rubber & Plastic Products,Manufacture Chemicals/Plastics
292,2611,Manufacture of flat glass,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
293,2612,Shaping and processing of flat glass,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
294,2613,Manufacture of hollow glass,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
295,2614,Manufacture of glass fibres,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
296,2615,"Manufacture and processing of other glass, including technical glassware",Manufacture Other Non-Metal Mineral Products,Manufacture Other 
300,2621,Manufacture of ceramic household and ornamental articles,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
301,2622,Manufacture of ceramic sanitary fixtures,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
302,2623,Manufacture of ceramic insulators and insulating fittings,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
303,2624,Manufacture of other technical ceramic products,Manufacture Other Non-Metal Mineral Products,Manufacture Other 
