"","Source","Target","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"76","5244","8010",-0.469520720605253,"Retail sale of furniture, lighting equipment and household articles n.e.c.","Primary education","NA","NA","NA","NA",67
"77","6412","8010",-0.685000219138279,"Courier activities other than national post activities","Primary education","NA","NA","NA","NA",29
"78","2452","8010",-0.703954732901704,"","Primary education","","NA","","NA",26
"79","1581","8010",-0.675212326202018,"Manufacture of bread; manufacture of fresh pastry goods and cakes","Primary education","NA","NA","NA","NA",26
"80","1513","8010",-0.719065588267817,"Bacon and ham production,Other meat and poultry meat processing","Primary education","NA","NA","NA","NA",24
"81","5247","8010",-0.455130712502127,"Retail sale of books, newspapers and stationery","Primary education","NA","NA","NA","NA",66
"82","6010","8010",-0.738473907631553,"Inter-city services and Other transport via railways","Primary education","NA","NA","NA","NA",11
"83","7230","8010",-0.17062815059596,"Data processing","Primary education","NA","NA","NA","NA",182
"84","2121","8010",-0.684856336424055,"Manufacture of other containers","Primary education","NA","NA","NA","NA",14
"85","7413","8010",-0.451803894659591,"Market research and public opinion polling","Primary education","NA","NA","NA","NA",52
"86","2524","8010",-0.732304223656504,"Manufacture of other plastic products","Primary education","NA","NA","NA","NA",23
"87","5164","8010",-0.854207772893647,"","Primary education","","NA","","NA",14
"88","9133","8010",0.221382057633369,"Activities of other membership organizations n.e.c.","Primary education","NA","NA","NA","NA",344
"89","5139","8010",-0.480972825649546,"Non-specialised wholesale of food, beverages and tobacco","Primary education","NA","NA","NA","NA",34
"90","2213","8010",-0.559837834248705,"Publishing of journals and periodicals","Primary education","NA","NA","NA","NA",30
"91","5261","8010",-0.586829923275009,"Retail sale via mail order houses","Primary education","NA","NA","NA","NA",38
"92","9261","8010",0.251370812407701,"Operation of ice rinks and roller skating rinks,Operation of other sports arenas and stadiums not elsewhere classified","Primary education","NA","NA","NA","NA",343
