StartIndust,FinalIndust,Counts
6522,6512,173
7230,7250,173
4531,4521,172
6512,7450,172
8511,7470,172
5540,6512,172
5121,5121,172
2722,2722,172
2441,2441,172
5211,5530,171
7450,6420,171
5248,6420,169
2640,2640,169
5248,8010,168
7450,7411,168
2972,2972,168
5211,8531,166
5227,5211,166
8010,4521,165
7414,7420,165
7450,8514,165
2953,2953,165
7415,8010,164
5146,8511,164
2215,2215,164
7420,8010,163
5147,5247,163
4521,7450,163
8022,8042,163
6512,6712,162
9211,9211,162
8514,8512,161
7450,4521,159
2612,2612,159
1010,1010,159
7210,7210,159
9272,8010,158
6522,6713,157
8042,8532,155
7484,9271,155
8030,8021,154
2212,2213,154
7121,7121,154
5552,5530,153
5248,5244,153
6512,6601,153
5530,5552,153
3613,3613,153
4545,4521,152
5145,5145,152
4521,7511,151
8511,5540,151
6601,6713,151
8010,5212,151
2412,2412,150
5020,5030,149
2511,2511,148
9002,9002,148
8511,7511,147
5511,5540,147
8010,6512,147
8531,5211,147
8010,5242,146
5242,5248,146
5211,7470,146
6522,4533,146
2872,2872,146
7483,7483,145
7450,7414,145
5010,5030,144
5212,8511,144
6321,6021,144
2413,2413,144
5030,5010,143
2224,2224,143
7512,8021,142
6512,5211,142
8010,7523,142
5248,5242,141
7250,7210,141
7511,8030,140
4521,4531,140
6712,6512,140
1512,1513,140
3330,3330,140
8532,8030,139
7020,8010,139
4521,7470,139
5114,5114,139
6024,7450,138
2830,2830,138
7420,7031,138
2223,2223,138
8512,8010,137
7450,6024,137
5242,6512,137
2682,2682,137
5139,5211,137
2441,2442,136
5552,5211,136
6523,6712,136
5540,9271,136
2010,2010,136
4521,7415,135
5540,5511,135
7511,5211,135
1551,5133,135
4010,4011,135
4020,4021,135
5211,8030,133
4521,4545,133
7450,7511,132
4521,4525,132
6010,6021,132
7412,7530,132
6340,6024,131
8010,7414,131
4525,4521,130
7450,7420,130
7420,7484,130
5138,5138,130
2123,2123,129
8514,7512,129
7450,8030,128
5552,7470,128
6024,6340,128
5248,5212,128
5221,5221,128
5165,5186,128
7230,5164,127
5221,5211,127
8030,7310,127
4543,4543,127
8010,7420,126
5212,6512,126
121,121,126
7486,7414,126
7414,7032,126
3512,3512,126
5190,5190,126
7470,4521,125
8030,7511,125
8010,8512,125
7415,5010,125
5247,5211,125
8514,7450,124
5552,8511,124
5248,5164,124
7412,7414,124
5157,5157,124
1771,1771,124
7413,7440,123
6523,6512,123
3650,3650,123
5030,5020,122
9262,9261,122
8010,9251,122
6022,6022,122
8531,7511,121
7524,7511,121
8532,5211,121
4010,8511,120
9213,9213,120
7220,7260,120
122,122,120
2822,2822,120
8010,5248,119
8010,5530,119
7415,6330,119
8532,8042,119
2932,2932,119
8021,8022,118
1581,5224,118
7031,6512,118
2225,2225,118
6021,6321,118
1586,1586,118
5540,5242,117
7484,4521,117
5540,7470,117
2754,2754,117
1589,1513,117
5244,5246,117
7450,7412,116
5242,5540,116
7470,5540,116
5211,5552,116
5164,7220,115
9261,9262,115
6512,7031,114
8022,8021,113
7511,9262,113
2040,2040,113
8010,7487,113
5243,5242,112
7412,8010,112
7420,7486,112
7032,8010,110
8010,7415,110
5010,7415,110
1531,1531,110
7523,8010,109
8042,7450,109
6024,5211,109
2931,2931,109
6512,6523,109
2414,2430,109
7260,7222,109
7486,7486,109
9133,8532,108
5530,7450,108
3615,3615,108
8514,8531,107
7513,7511,107
5248,5247,107
6024,6412,107
5212,7450,107
8511,7020,107
7486,4100,107
5540,5510,107
5540,8030,106
9262,7511,106
8021,8532,106
7512,7020,106
7414,7413,106
6512,6720,106
5272,5272,106
1513,1512,106
4534,4534,106
2626,2626,106
6412,7486,106
5530,8511,105
8532,9133,105
9133,5540,105
7412,6512,105
7310,8010,104
2051,2051,104
5212,5540,104
3710,3710,104
4533,4521,103
3220,3320,103
8021,8511,103
8010,7412,103
6720,6512,103
6330,5211,103
7440,7413,102
9000,8010,101
8511,5552,101
5530,5510,101
5133,1551,100
5242,7450,100
7511,7020,100
7220,5164,100
5040,5040,100
2744,2744,100
8042,8531,99
9271,8010,99
8030,7450,99
5242,8511,99
5211,6411,99
1513,2451,99
7411,8010,98
7414,7450,98
6512,8511,98
7450,5540,98
4100,7486,98
6411,8010,97
7513,8010,97
7487,8010,97
2753,2753,97
5118,5118,97
7414,8010,96
5244,5153,96
3320,7450,96
7484,7415,95
7470,7450,95
7440,7414,95
5540,5552,95
2821,2821,95
1821,1821,95
7230,7210,95
6311,6311,95
5540,8531,94
7031,7420,94
8532,8021,94
4521,4533,94
7514,7514,94
7450,7487,94
5224,1581,93
8030,5211,93
5020,3410,93
4100,9001,93
7011,4521,92
7420,7450,92
5261,5212,92
1600,1600,92
201,201,91
7470,8532,91
5510,5530,91
4521,7484,91
6512,7412,91
7450,4533,91
6021,6023,91
7450,7222,91
5530,5242,90
8511,8021,90
5248,5540,90
8010,7411,90
2420,2420,90
3640,3640,90
4523,4521,89
5511,5530,89
8010,9271,89
2663,2663,89
1587,1587,89
1120,1120,89
2873,2873,88
6512,7511,88
5211,5010,88
7411,7450,88
7460,7470,88
8513,8511,88
5248,6512,88
5530,6512,88
5244,5211,88
7412,6713,88
5211,5246,88
5211,5247,87
7511,7450,87
5248,7450,87
9133,6603,87
6603,8511,87
5540,9262,87
2912,6312,87
7511,5540,87
7134,5540,87
7522,7310,87
5244,5212,87
5246,5212,87
5248,5246,87
1422,1422,87
7020,8532,86
2462,2462,86
7032,7031,86
124,124,86
4010,4012,86
7511,4521,85
7415,7450,85
7031,7020,85
7032,7020,85
7032,7414,85
7420,7310,85
6712,6523,85
5522,5522,85
2020,2020,84
7310,7420,84
8532,7020,84
6411,5211,84
5246,5211,84
7031,7032,84
7250,7230,84
5134,1596,84
7470,7415,83
5030,5248,83
8532,9131,83
5540,5212,83
7240,7240,83
4511,4521,82
5211,7420,82
7511,7530,82
6210,6220,82
5211,5245,81
6512,6603,81
5211,6330,81
4521,7011,81
6521,6521,81
6412,5212,81
5151,2320,81
2615,2615,81
7530,8010,80
5211,6024,80
5212,7415,80
5245,5248,80
5540,5248,80
5153,5154,80
7413,7414,80
5135,5135,80
2651,2651,80
7470,8531,79
5146,2442,79
5540,7511,79
7484,8010,79
7450,7415,79
7484,7420,79
6512,6522,79
4521,4523,79
5166,5188,79
2212,7415,78
8042,8021,78
7414,7412,78
6512,5540,78
142,142,78
6512,7414,78
4521,4542,78
6712,6713,78
4541,4541,78
4013,7487,78
7470,7511,77
5151,5050,77
5211,7524,77
7220,7230,77
5211,9271,77
9232,9232,77
3410,7415,76
130,111,76
5552,7450,76
8022,8511,76
9262,5540,76
5510,5540,76
7484,7411,76
5161,5161,76
5523,5522,76
3622,3622,76
7011,8531,75
7250,7220,75
7230,7220,75
5250,8532,75
5247,5245,75
5511,5211,75
2442,5146,75
1920,1920,75
5263,5133,75
7415,4010,75
7450,2212,75
7415,6024,74
5154,5153,74
6411,6420,74
7511,7470,74
8010,6411,74
3320,7222,74
8531,8030,73
9131,8010,73
8022,8532,73
5540,8532,73
5540,7415,73
2752,2752,73
5552,5540,73
5224,5211,73
5211,5244,73
8531,8042,73
4523,7032,73
3320,3220,73
1533,1589,73
7420,3410,73
5211,4521,72
5211,6603,72
8010,9131,72
8030,5540,72
8532,5540,72
5551,6411,72
1713,1713,72
7250,7222,72
5510,8010,71
3320,3530,71
1581,1582,71
7450,7470,71
7020,8511,71
5211,9262,71
7450,6312,71
2852,2811,71
5122,5122,71
7530,7513,71
7412,7511,70
1581,7415,70
7412,7484,70
8532,7470,70
7415,7470,70
6024,5261,70
6312,1512,70
7310,7430,70
7415,3410,70
2622,2622,70
7414,7222,70
5186,5186,70
9133,7511,69
8022,7450,69
1822,5142,69
4521,2811,69
7511,9133,69
8531,5540,69
7450,8042,69
7450,5212,69
3140,3140,69
8041,8041,69
7511,8022,68
5165,7220,68
3161,3430,68
3320,3614,68
5231,7415,68
6720,7412,68
1552,1552,68
7450,7460,68
6713,6712,68
1712,1712,68
2940,2943,68
7470,8030,67
2416,2442,67
5244,8010,67
3530,3320,67
3002,3320,67
6312,5211,67
6023,6021,67
8514,2441,67
3120,3520,67
5226,5226,67
7524,7525,67
5247,8010,66
6412,6024,66
7412,7450,66
5162,5162,66
2971,5146,66
8511,7414,66
5211,7530,66
7415,2212,66
8511,8022,65
7484,7220,65
5211,8021,65
5211,7412,65
5211,7411,65
7484,7414,65
9253,9253,65
7470,7032,65
6420,3220,65
3420,3410,65
3001,5185,65
7487,4521,64
7414,7415,64
5540,7420,64
5147,5248,64
5248,5245,64
7415,5050,64
8531,8021,64
7414,7440,64
7032,7470,64
3162,4531,64
7460,4531,64
4521,7032,64
8511,5212,64
7140,5272,64
4521,4511,64
2681,2681,64
2124,2124,64
8010,5510,64
4011,4012,64
7511,7220,63
8042,7511,63
5511,8010,63
4523,8010,63
5247,5248,63
5248,8511,63
5511,8511,63
7415,5540,63
1596,5540,63
5530,5212,63
8532,8022,62
3162,3120,62
5050,7415,62
7470,8021,62
5245,5247,62
7415,6512,62
5231,5211,62
9262,5211,62
9271,5211,62
7511,7414,62
5211,7414,62
5211,5139,62
7450,7524,62
7020,7032,62
5242,5243,62
1910,1910,62
3210,3220,62
9212,9212,62
7320,7320,62
7414,7487,62
8030,8531,61
1822,5242,61
8010,9305,61
9305,8010,61
9131,8532,61
2852,2840,61
3430,5030,61
8511,5530,61
7415,5231,61
7222,6420,61
7415,6340,61
5143,5165,61
2611,2611,61
5136,5136,61
6512,8030,60
7450,8022,60
5020,6024,60
1760,1760,60
4100,7415,60
8511,8513,60
4531,7420,60
7132,4550,60
5272,5245,60
7415,7484,60
7484,7450,60
6420,7450,60
8021,5211,60
3530,7522,60
1572,1572,60
2614,2614,60
5211,7487,60
5142,5242,59
3410,3430,59
8030,7420,59
5211,6420,59
9213,5540,59
7414,6512,59
7470,7460,59
7220,7250,59
130,122,59
1721,1721,59
5143,5187,59
5164,5185,59
7512,8531,58
5242,7511,58
4532,4525,58
7450,7484,58
3430,7450,58
5540,6603,58
5248,6312,58
4521,7414,58
6720,7414,58
7020,7011,58
7512,7524,58
7450,5552,58
8532,5250,58
6512,7222,58
7483,7485,58
7260,7220,57
7450,8512,57
5184,5248,57
7450,5530,57
9262,8511,57
5170,5165,57
6330,6512,57
5540,7411,57
6512,7411,57
5050,5211,57
5510,5211,57
8030,7414,57
8511,7524,57
1552,1513,57
2912,2913,57
1584,1586,57
2734,2734,57
7514,8030,56
6512,8532,56
6024,7415,56
2414,7415,56
5530,5248,56
7450,5248,56
7450,6603,56
8531,7470,56
6010,6340,56
4521,7020,56
9271,5540,56
7134,7132,56
7484,6512,56
5226,5211,56
5153,5244,56
7415,7414,56
8532,7512,56
6512,7524,56
5211,6720,56
1589,2451,56
1110,5151,56
125,125,56
6420,7222,56
7512,8030,55
9272,9261,55
8512,8532,55
6024,5010,55
7470,5530,55
1582,1581,55
8042,8511,55
7484,7412,55
6713,7412,55
7420,4531,55
1581,5211,55
9302,5233,55
7450,7482,55
7414,6720,55
1511,1513,55
8511,7523,55
5185,5185,55
3161,3530,54
1513,1582,54
7511,7420,54
7415,7420,54
3320,3110,54
7415,7132,54
130,121,54
8532,7411,54
5165,5154,54
8030,8514,54
7511,8042,54
2222,2215,54
5540,1596,54
2745,2745,54
7420,8030,53
5212,7511,53
5245,8010,53
7460,8010,53
2914,3320,53
9301,7415,53
5261,7415,53
2123,2222,53
5530,7470,53
9252,9133,53
8511,8042,53
2923,4533,53
6312,5212,53
7511,9272,53
4010,2330,53
8532,7487,53
7222,7487,53
5552,8030,52
7514,7511,52
6420,8010,52
7413,8010,52
9252,8010,52
2521,2524,52
5211,8512,52
5552,7415,52
5530,5511,52
5242,5530,52
7460,7450,52
7411,8511,52
7450,7020,52
6522,6330,52
8511,9262,52
5212,5244,52
5211,8514,52
7450,6601,52
2955,2955,52
7222,7260,52
7230,7222,52
5243,8010,51
2212,8010,51
7415,3430,51
2914,3430,51
5530,7415,51
2811,7420,51
9262,7450,51
7450,7440,51
7415,8511,51
5211,6312,51
8511,9133,51
8511,6512,51
5540,7524,51
7414,6713,51
7484,9220,51
2954,2954,51
5530,8030,50
8514,8030,50
8511,5242,50
6512,5242,50
5540,4521,50
2030,4521,50
7031,8010,50
5246,8010,50
7522,8010,50
2911,2912,50
2211,2213,50
5511,7450,50
5510,7450,50
5242,5142,50
5248,5147,50
4531,7460,50
5242,5244,50
1582,1589,50
2921,2921,50
2721,2721,50
2940,2942,50
4542,4521,49
7512,8532,49
2522,2521,49
6110,6340,49
8010,7460,49
5211,7460,49
7511,8514,49
4521,2923,49
7450,6720,49
8010,9301,49
2442,2420,49
3220,3210,49
6340,6323,49
9233,9233,49
7511,9252,49
8511,7487,49
7412,7222,49
5184,7222,49
7220,7221,49
7450,7220,48
7522,3530,48
7414,8532,48
3430,7415,48
7420,7415,48
5244,5248,48
1589,1581,48
7487,7450,48
6601,7412,48
7450,6330,48
6340,6312,48
5540,9133,48
7483,7411,48
5010,5211,48
7460,5211,48
8010,5244,48
4531,4533,48
7511,7032,48
6512,5212,48
6412,5261,48
8030,5552,48
2231,2231,48
5248,5184,48
5248,7222,48
8021,8531,47
2852,3530,47
7420,2852,47
2913,2912,47
2852,3430,47
3612,3614,47
2511,5030,47
4010,7415,47
2852,7420,47
8030,7484,47
3002,7450,47
3220,6420,47
7420,7470,47
4533,9133,47
9261,5540,47
7412,7411,47
7412,6720,47
7450,6713,47
5165,7134,47
2754,2753,47
6210,6323,47
3430,3410,47
1724,1724,47
7460,7487,47
5162,5182,47
5530,8531,46
7414,8030,46
8511,4521,46
9000,7511,46
5261,2840,46
6312,5030,46
1513,1551,46
7487,7420,46
8010,5511,46
7484,6420,46
8030,7470,46
4521,8511,46
7310,8511,46
5530,9262,46
7220,6512,46
7222,6512,46
8010,7031,46
8010,7530,46
8511,7530,46
5212,8030,45
4010,8030,45
8022,7511,45
6024,8010,45
5242,8532,45
2914,3614,45
5540,5010,45
1824,1822,45
5211,5050,45
8021,7470,45
7524,8511,45
8030,7411,45
9303,5211,45
6720,6522,45
4521,6321,45
5211,7522,45
5540,7487,45
6024,4521,44
2811,4521,44
6330,8010,44
7011,8010,44
4521,6024,44
5248,8532,44
5530,8532,44
7484,8532,44
7524,8532,44
5248,7415,44
8512,7450,44
7440,7450,44
4531,6420,44
7523,8511,44
4533,4531,44
5147,5211,44
5261,5211,44
5225,5211,44
7484,6601,44
7450,7310,44
9133,6522,44
5511,9271,44
5274,5274,44
6512,6511,44
6512,7220,43
7450,5242,43
9001,4521,43
9272,7511,43
5010,8010,43
3520,3120,43
8511,5248,43
2521,2522,43
2320,5050,43
5211,5511,43
5211,6412,43
7020,7484,43
7310,7450,43
2225,2222,43
7031,7411,43
5211,8042,43
8030,7512,43
2221,2221,43
9132,9132,43
1583,1583,43
8010,7222,43
4012,4012,43
5552,8531,42
5211,8022,42
7420,7220,42
5153,4521,42
7411,7511,42
2112,2121,42
9305,8532,42
2524,3430,42
8532,8512,42
7031,7415,42
5211,1581,42
5211,5231,42
7440,6420,42
5540,6420,42
6512,6420,42
7484,8511,42
2875,2811,42
8030,6512,42
6601,5211,42
6420,7414,42
6603,7414,42
5540,8514,42
6602,6601,42
7415,7310,42
7450,1513,42
7032,4523,42
5212,5246,42
7482,2914,42
7210,7222,42
8010,9002,42
4012,4013,42
5247,5242,41
7487,8532,41
7415,1582,41
5165,5248,41
5212,5245,41
8010,5247,41
9262,5530,41
5212,5530,41
5020,7450,41
6603,7450,41
7522,7450,41
7220,6420,41
9133,8511,41
7133,7133,41
7220,7414,41
2753,2754,41
7415,6720,41
7415,5212,41
5243,5212,41
1582,1513,41
5511,5552,41
7415,7110,41
1513,1589,41
5146,3210,41
3002,3210,41
2415,2415,41
2861,2861,41
9500,9500,41
7420,7487,41
7412,7487,41
7420,7222,41
5161,5181,41
6412,5242,40
5116,5242,40
1421,2661,40
3210,3320,40
7450,3430,40
5552,8021,40
5212,5247,40
6720,7450,40
7222,7450,40
7414,6420,40
5231,8511,40
5211,5147,40
5247,6512,40
4521,5211,40
8532,7414,40
5211,6601,40
9304,9304,40
4542,2030,40
6523,6713,40
1581,1513,40
5165,4523,40
9261,9272,40
8021,5552,40
2852,3520,40
4524,4524,40
5211,5510,40
8022,8531,39
5242,8030,39
8512,8030,39
5211,5020,39
7470,5242,39
5020,8010,39
6603,8010,39
6021,8010,39
3614,3611,39
8531,8512,39
7110,5010,39
3110,3120,39
7415,5153,39
2670,2670,39
5243,5248,39
5211,5224,39
6411,7450,39
7031,7450,39
5165,6420,39
2223,2222,39
7411,7412,39
5242,6312,39
2416,2414,39
7411,6512,39
7420,7411,39
3210,3310,39
5020,5211,39
9261,5211,39
9133,5211,39
5243,5211,39
7522,5211,39
3310,5146,39
5540,7414,39
7513,7512,39
7450,7031,39
5211,7031,39
7484,7230,39
2221,2212,39
3110,7220,38
4544,4521,38
8532,9305,38
5261,8010,38
5242,7415,38
2416,7415,38
2524,2522,38
9271,5511,38
5212,6412,38
6312,7450,38
5147,7450,38
6713,7450,38
8010,6420,38
7415,6420,38
5212,6603,38
5242,7470,38
7530,8511,38
8030,7412,38
5540,6330,38
2213,2211,38
7511,6512,38
2466,2413,38
7420,7032,38
2222,2225,38
8010,9272,38
5020,5272,38
2630,2630,38
3614,3612,38
3662,3662,38
5152,2710,38
8010,9252,38
7511,7525,38
8010,9500,38
5242,8531,37
7484,8030,37
7220,8010,37
5231,8010,37
7222,8010,37
5540,9261,37
5010,6024,37
2413,2466,37
5212,8532,37
5552,8532,37
3420,3430,37
2463,2463,37
5248,5030,37
8514,5248,37
5540,8021,37
8010,7484,37
7414,7484,37
9220,7484,37
7415,1581,37
7415,7440,37
5540,7020,37
5245,6512,37
6420,6512,37
6711,6512,37
5133,5211,37
8042,7414,37
7222,7414,37
5540,8042,37
5540,6411,37
7222,7250,37
8511,7310,37
7020,7031,37
9262,9304,37
8010,6021,37
5211,5243,37
7470,5212,37
7415,1421,37
7511,3511,37
1582,1531,37
6340,6010,37
2871,2871,37
3720,3720,37
7487,7222,37
5212,8531,36
8010,5020,36
6024,5020,36
2852,4521,36
7450,3530,36
5030,6024,36
9262,8532,36
3430,2924,36
7511,7415,36
7220,7420,36
7470,7420,36
5246,5248,36
2222,2213,36
7450,6412,36
8021,7450,36
4531,7450,36
7524,7450,36
2812,2523,36
5212,7470,36
7250,5164,36
5211,4531,36
7420,2811,36
8030,9133,36
5030,2511,36
8532,6512,36
7032,7011,36
5146,7310,36
7450,6021,36
5211,6021,36
3511,7032,36
5552,5212,36
8010,4523,36
8531,5552,36
7450,7522,36
3230,3220,36
7222,7210,36
5271,5271,36
1723,1723,36
5211,7222,36
8531,8022,35
7414,7220,35
7414,4521,35
2222,8010,35
7513,8532,35
3162,3320,35
2521,3430,35
2524,2521,35
5242,5247,35
5010,7450,35
5153,7450,35
7450,2222,35
2215,2222,35
7420,7412,35
7450,9262,35
2922,4531,35
2940,2862,35
4521,7132,35
9262,6512,35
9271,6512,35
8511,7411,35
7420,5211,35
8511,5146,35
6601,7414,35
7450,3002,35
7450,6411,35
9220,6411,35
7450,7512,35
3130,3161,35
6720,6523,35
5262,5262,35
5242,5261,35
1753,1753,35
4525,4532,35
2222,2112,35
6220,6210,35
8532,7523,35
5211,7523,35
5232,5232,35
502,502,35
7222,5184,35
7221,7222,35
4521,8531,34
7511,5242,34
7020,4521,34
5248,7511,34
5139,8010,34
2811,2852,34
4521,8532,34
5050,5010,34
2911,7415,34
8511,7420,34
5246,5153,34
1823,1822,34
1513,1581,34
5245,7450,34
7420,8511,34
7414,8511,34
5248,5165,34
7511,7412,34
8030,9262,34
8532,9262,34
6512,9262,34
5211,9133,34
4521,5540,34
5247,5540,34
8042,5211,34
5165,5143,34
4521,4544,34
8010,4533,34
2222,2223,34
5020,6522,34
7450,6712,34
7470,9301,34
8010,5246,34
5153,5246,34
6602,6602,34
3530,2960,34
3320,2960,34
2417,2417,34
7470,5510,34
8030,7487,34
9133,8531,33
5248,8030,33
5248,7220,33
7450,2442,33
4522,4521,33
7450,9305,33
7420,7511,33
5050,8010,33
6720,8010,33
8010,6024,33
7415,8532,33
6340,7415,33
2211,5247,33
8030,5530,33
5248,5530,33
7511,7484,33
6330,7450,33
9271,7450,33
2524,2523,33
5245,6420,33
7415,2222,33
2211,2222,33
5510,7470,33
6330,5540,33
7487,6512,33
7414,7411,33
5233,5211,33
3320,7460,33
7512,8042,33
3220,3002,33
4521,2931,33
6340,6110,33
8010,6720,33
6720,6713,33
