,sic_code,SubActivity
771,5134,"Wholesale of fruit and vegetable juices, mineral water and soft drinks"
773,5135,Wholesale of tobacco products
774,5136,Wholesale of sugar and chocolate and sugar confectionery
775,5137,"Wholesale of coffee, tea, cocoa and spices"
777,5139,"Non-specialised wholesale of food, beverages and tobacco"
778,5141,Wholesale of textiles
779,5142,"Wholesale of adults' fur and leather clothing,Wholesale of children's and infants' clothing,Wholesale of footwear, Wholesale of clothing n.e.c."
783,5143,"Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played, radios and televisions; wholesale of electrical household appliances n.e.c"
785,5147, "Wholesale of photographic goods, Wholesale of other household goods n.e.c."
787,5144,"Wholesale of china and glassware, wallpaper and cleaning materials"
788,5145,Wholesale of perfume and cosmetics
789,5146,Wholesale of pharmaceutical goods
790,5143,Wholesale of electrical household appliances and radio and television goods
791,5147,"Wholesale of furniture,jewellery, imitation jewellery, musical instruments, toys and games,travel and fancy goods"
801,5184,"Wholesale of computers, computer peripheral equipment and software"
803,5186,Wholesale of other electronic parts and equipment
804,5188,"Wholesale of agricultural machinery and accessories and implements, including tractors"
805,5181,Wholesale of machine tools
806,5182,"Wholesale of mining, construction and civil engineering machinery"
807,5183,Wholesale of machinery for the textile industry and of sewing and knitting machines
808,5185,Wholesale of other office machinery and equipment
810,5187,"Wholesale of other machinery for use in industry, trade and navigation"
811,5151,Wholesale of petroleum and petroleum products other fuels and related products
813,5152,Wholesale of metals and metal ores
816,5153,"Wholesale of wood, construction materials and sanitary equipment"
817,5154,"Wholesale of hardware, plumbing and heating equipment and supplies"
818,5155,Wholesale of chemical products
820,5156,Wholesale of other intermediate products
821,5157,Wholesale of waste and scrap
822,5190,Other wholesale
823,5211,"Retail sale by confectioners, tobacconists and newsagents (CTNs), non-specialised stores holding an alcohol licence, with food, beverages or tobacco predominating"
826,5212,Other retail sale in non-specialised stores
827,5221,Retail sale of fruit and vegetables
828,5227,"Other retail sale of food, beverages and tobacco in specialised stores"
829,5222,Retail sale of meat and meat products
830,5223,"Retail sale of fish, crustaceans and molluscs"
831,5224,"Retail sale of bread, cakes, flour confectionery and sugar confectionery"
832,5225,Retail sale of alcoholic and other beverages
833,5226,Retail sale of tobacco products
835,5050,Retail sale of automotive fuel
836,5248,"Retail sale of photographic, optical and precision equipment, office supplies and equipment (incl. computers),Retail sale of sports goods, games and toys, stamps and coins, Retail sale of mobile telephones"
840,5245,Retail sale of electrical household appliances and radio and television goods
841,5241,Retail sale of textiles
842,5246,"Retail sale of hardware, paints and glass"
843,5244,"Retail sale of furniture, lighting equipment and household articles n.e.c."
844,5248,Retail sale of floor coverings Other retail sale in specialised stores n.e.c.
850,5247,"Retail sale of books, newspapers and stationery"
855,5242,"Retail sale of adults' fur and leather clothing, children's and infants' clothing, other women's clothing, other men's clothing"
859,5243,"Retail sale of footwear, leather goods"
861,5231,Dispensing chemists
862,5232,Retail sale of hearing aids
863,5232,Retail sale of medical and orthopaedic goods n.e.c.
864,5233,Retail sale of cosmetic and toilet articles
865,5248,Other retail sale  in specialised stores n.e.c.
866,5248,"Retail sale of jewellery, clocks and watches ,Retail sale in commercial art galleries,Retail sale by opticians"
872,5250,"Retail sale of antiques, including antique books, in stores"
873,5263,Other non-store retail sale
874,5250,Retail sale of other second-hand goods in stores
876,5262,Retail sale via stalls and markets
879,5261,Retail sale via mail order houses
882,6010,Inter-city services and Other transport via railways
885,6021,"Urban and suburban passenger railway transportation by underground, metro and similar systems, Other scheduled passenger land transport n.e.c."
888,6022,Taxi operation
890,6023,"Renting of buses and coaches, Other land passenger transport n.e.c."
892,6024,"Freight transport by road n.e.c.,Furniture removal activities"
894,6030,Transport via pipelines
895,6110,"Passenger sea and coastal water transport, Freight sea and coastal water transport"
897,6120,"Passenger inland water transport, Other inland water transport"
899,6210,"Scheduled passenger air transport,Other scheduled air transport"
902,6220,Other non-scheduled air transport
903,6230,Space transport
904,6312,"Storage and warehousing of frozen and refrigerated goods, liquids or gases, Storage and warehousing of grain, Storage and warehousing n.e.c."
917,6321,Other supporting land transport activities
930,6322,Other supporting water transport activities
932,6323,Other supporting air transport activities
933,6311,Cargo handling
936,6340,Activities of other transport agencies
937,6411,National post activities
938,6412,Courier activities other than national post activities
940,5510,Hotels and motels with restaurant (licensed and unlicensed) and without restaurant
943,5523,"Holiday centres and holiday villages, Other self-catering holiday accommodation,Other tourist or short-stay accommodation"
944,5521,Youth hostels and mountain refuges
948,5522,"Camping sites, including caravan sites"
950,5530,"Licensed restaurants,Unlicensed restaurants and cafes,Take-away food shops,Take-away mobile food stands"
954,5552,Catering
955,5551,Canteens
957,5540,"Licensed clubs,Independent public houses and bars,Tenanted public houses and bars,Managed public houses and bars"
962,7240,Database activities
965,2212,Publishing of newspapers
967,2213,Publishing of journals and periodicals
971,2215,Other publishing
974,7221,Publishing of software
978,9211,"Motion picture production on film or video, Other motion picture and video production activities"
984,9212,Motion picture and video distribution
987,9213,Motion picture projection
988,2214,Publishing of sound recordings
990,7487,Other business activities not elsewhere classified
992,9220,Radio activities
993,6420,Telecommunications
1004,7222,Other software consultancy and supply
1009,7210,Hardware consultancy
1011,7230,Data processing
1014,7260,Other computer related activities
1018,9240,News agency activities
1020,6511,Central banking
1021,6512,"Banks,Building societies"
1023,7415,"Management activities of other non-financial holding companies,production holding companies, construction holding companies, wholesale holding companies, motor trades holding companies, retail holding companies"
1029,6523, "Activities of bank holding companies Financial intermediation not elsewhere classified"
1031,7415,"Management activities of transport holding companies, catering holding companies, service trades holding companies"
1035,6523,"Activities of investment trusts,unit trusts, venture and development capital companies,open-ended investment companies,property unit trusts"
1041,6521,Financial leasing
1042,6522,"Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Activities of mortgage finance companies,Other credit granting not elsewhere classified"
1045,6523,Security dealing on own account
1046,6522,Factoring
1048,6601,Life insurance
1049,6603,Non-life insurance
1051,6602,Pension funding
1054,6711,Administration of financial markets
1055,6712,Security broking and fund management
1056,6713,Activities auxiliary to financial intermediation n.e.c.
1058,6720,Activities auxiliary to insurance and pension funding
1061,6712,Fund management activities
1062,7012,Buying and selling of own real estate
1063,7020,"Other letting of own property, Letting of conference and exhibition centres"
1066,7031,Real estate agencies
1067,7032,Management of real estate on a fee or contract basis
1068,7411,"Barristers at law,Solicitors,Activities of patent and copyright agents,Other legal activities not elsewhere classified"
1072,7412,"Accounting and auditing activities,Book-keeping activities,Tax consultancy"
1084,7414,"Public relations activities,Financial management,General management consultancy activities"
1089,7420,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities"
1094,7420,Other engineering activities
1095,7430,Technical testing and analysis
1096,7310,Research and experimental development on natural sciences and engineering
1099,7320,Research and experimental development on social sciences and humanities
1100,7440,"Planning, creation and placement of advertising activities, Advertising activities not elsewhere classified,Sale or leasing activities of advertising space or time"
1103,7413,Market research and public opinion polling
1104,7487,Specialty design activities
1105,7481,"Portrait photographic activities,Other specialist photography,Film processing,Photographic activities not elsewhere classified"
1111,7485,Secretarial and translation activities
1113,7420,Quantity surveying activities
1117,7460,Security and related activities
1119,8520,Veterinary activities
1120,7110,Renting of automobiles
1121,7121,Renting of other land transport equipment
1122,7140,"Renting of sporting and recreational equipment,Renting of records and other pre-recorded media,Renting of video tapes and DVDs,Renting of radios, televisions and video recorders and DVD players, Renting of other personal and household goods not elsewhere classified"
1128,7131,Renting of agricultural machinery and equipment
1129,7132,Renting of construction and civil engineering machinery and equipment
1130,7133,"Renting of office machinery and equipment, including computers"
1131,7122,"Renting of passenger water transport equipment,Renting of other water transport equipment"
1133,7123,"Renting of passenger air transport equipment,Renting of other air transport equipment"
1135,7121,Renting of passenger land transport equipment
1138,7134,Renting of other machinery and equipment n.e.c.
1140,7450,Labour recruitment and provision of personnel
1141,9272,"Motion picture, television and other theatrical casting"
1145,6330,"Activities of travel agencies, organisers,tour guides,Other tourist assistance activities n.e.c."
1149,9232,Operation of arts facilities
1150,9234,Other entertainment activities not elsewhere classified
1151,9262,Other sporting activities not elsewhere classified
1156,7460,Investigation activities
1158,7514,Supporting service activities for the government as a whole
1159,7470,"Traditional cleaning services,Window cleaning services,Specialised cleaning services,Furnace and chimney cleaning services,Cleaning activities not elsewhere classified,Disinfecting and exterminating services"
1171,7486,Call centre activities
1172,7487,"Activities of exhibition and fair organisers,Activities of conference organisers,Credit reporting and collection agency activities"
1176,7482,Packaging activities
1179,7513,Regulation of and contribution to more efficient operation of business
1180,7511,General (overall) public service activities
1182,7512,"Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security"
1184,7521,Foreign affairs
1185,7522,Defence activities
1186,7523,Justice and judicial activities
1187,7524,"Public security, law and order activities"
1188,7525,Fire service activities
1189,7530,Compulsory social security activities
1190,8010,Primary education
1192,8021,General secondary education
1195,8022,Technical and vocational secondary education
1196,8042,Other adult and other education n.e.c.
1197,8030,Sub-degree level higher education
1198,8030,First-degree level higher education
1199,8030,Post-graduate level higher education
1202,9305,Other service activities n.e.c.
1204,9234,Dance halls and dancing instructor activities
1205,8041,Driving school activities
1206,8042,Activities of private training providers
1209,8511,"Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities"
1212,8512,Medical practice activities
1214,8513,Dental practice activities
1215,8514,Other human health activities
1220,8531,Charitable social work activities with accommodation
1221,8531,Non-charitable social work activities with accommodation
1227,8532,"Charitable social work activities without accommodation,Non-charitable social work activities without accommodation"
1234,9231,"Live theatrical presentations,Other artistic and literary creation and interpretation,Library and archives activities"
1246,9252,"Museums activities,Preservation of historical sites and buildings"
1248,9253,Botanical and zoological gardens and nature reserves activities
1249,9271,Gambling and betting activities
1250,9261,"Operation of ice rinks and roller skating rinks,Operation of other sports arenas and stadiums not elsewhere classified"
1254,9304,Physical well-being activities
1255,9262,Activities of racehorse owners
1257,9233,Fair and amusement park activities
1263,9111,Activities of business and employers' organizations
1264,9112,Activities of professional organizations
1265,9120,Activities of trade unions
1266,9131,Activities of religious organizations
1267,9132,Activities of political organizations
1269,9133,Activities of other membership organizations n.e.c.
1275,5272,Repair of electrical household goods
1279,5271,"Repair of boots, shoes and other articles of leather"
1286,5273,"Repair of watches, clocks and jewellery"
1290,9301,Washing and dry-cleaning of textile and fur products
1291,9302,Hairdressing and other beauty treatment
1292,9303,Funeral and related activities
1295,9305,Operation of coin-operated photographic machines
1297,9500,Activities of households as employers of domestic staff
1298,9600,Undifferentiated goods producing activities of private households for own use
1299,9700,Undifferentiated services producing activities of private households for own use
1300,9900,Extra-territorial organizations and bodies
