MainIndustry,MainActivity,SubActivity,SIC2007
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale","Coffee, tea, cocoa, spices",4637
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Other food,4638
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Other non-specialised,4639
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,Textiles,4641
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,"Clothing, footwear",4642
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,Electrical appliances,4643
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,"China, glassware, cleaning materials",4644
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,"Perfume, cosmetics",4645
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,Pharmaceutical goods,4646
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,"Furniture, carpets, lighting",4647
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,"Watches, jewellery",4648
"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,Other,4649
"Wholesale and retail,motor vehicle repair,sale of fuel",Information/comms equip wholesale,"Computers, peripherals, software",4651
"Wholesale and retail,motor vehicle repair,sale of fuel",Information/comms equip wholesale,"Electronic, telecomms",4652
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale",Agricultural,4661
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale",Machine tools,4662
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale","Mining, construction, civil eng",4663
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale","Textile, sewing, knitting m/c",4664
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale",Office furniture,4665
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale","Other office m/c, equipment",4666
"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale",Other,4669
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Fuels, related products",4671
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Metals, metal ores",4672
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Wood, construction, sanitary equip",4673
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Hardware, plumbing, heating equip",4674
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,Chemical products,4675
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,Other intermediate products,4676
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Waste, scrap",4677
"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,Non-specialised wholesale trade,4690
"Wholesale and retail,motor vehicle repair,sale of fuel",Non specialised retail stores,"Food, beverages, tobacco mainly",4711
"Wholesale and retail,motor vehicle repair,sale of fuel",Non specialised retail stores,Other non specialised,4719
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,"Fruit, vegetables",4721
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,"Meat, meat products",4722
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,"Fish, crustaceans, molluscs",4723
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,"Bread, cakes, confectionery",4724
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,Beverages,4725
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,Tobacco products,4726
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - food etc,Other food in specialised stores,4729
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - auto fuel,Automotive fuel (in petrol stations),4730
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - info/comms,"Computers, peripherals, software",4741
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - info/comms,Telecommunications equipment,4742
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - info/comms,"Audio, video equipment",4743
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - household,Textiles,4751
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - household,"Hardware, paints, glass",4752
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - household,"Carpets, rugs, wall/floor coverings",4753
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - household,Electrical household appliances,4754
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - household,"Furniture, lighting, other",4759
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Books,4761
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Newspapers, stationery",4762
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Music, video recordings",4763
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Sporting equipment,4764
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Games, toys",4765
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Clothing,4771
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Footwear, leather goods",4772
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Dispensing chemist,4773
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Medical, orthopaedic goods",4774
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Cosmetic, toilet articles",4775
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Flowers, plants, pet animals/food",4776
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Watches, jewellery",4777
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Other new goods,4778
"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Other second hand goods,4779
"Wholesale and retail,motor vehicle repair,sale of fuel","Stall, Markets - retail","Food, beverages, tobacco products",4781
"Wholesale and retail,motor vehicle repair,sale of fuel","Stall, Markets - retail","Textiles, clothing, footwear",4782
"Wholesale and retail,motor vehicle repair,sale of fuel","Stall, Markets - retail",Other goods,4789
"Wholesale and retail,motor vehicle repair,sale of fuel",Other retail,"Via mail order houses, Internet",4791
"Wholesale and retail,motor vehicle repair,sale of fuel",Other retail,Other retail,4799
Transportation and Storage,"Land, pipeline transport","Passenger rail, interurban",4910
Transportation and Storage,"Land, pipeline transport",Freight rail,4920
Transportation and Storage,"Land, pipeline transport",Urban/suburban passenger transport,4931
Transportation and Storage,"Land, pipeline transport",Taxi operation,4932
Transportation and Storage,"Land, pipeline transport",Other passenger land transport,4939
Transportation and Storage,"Land, pipeline transport",Road freight transport,4941
Transportation and Storage,"Land, pipeline transport",Removal services,4942
Transportation and Storage,"Land, pipeline transport",Transport via pipeline,4950
Transportation and Storage,Water transport,"Sea, coastal passenger transport",5010
Transportation and Storage,Water transport,"Sea, coastal freight transport",5020
Transportation and Storage,Water transport,Inland passenger transport,5030
Transportation and Storage,Water transport,Inland freight transport,5040
Transportation and Storage,Air transport,Passenger air transport,5110
Transportation and Storage,Air transport,Freight air transport,5121
Transportation and Storage,Air transport,Space transport,5122
Transportation and Storage,"Warehousing, transport support",Warehousing and storage,5210
Transportation and Storage,"Warehousing, transport support",Transportation support activities,5220
Transportation and Storage,"Warehousing, transport support",Incidental inland service,5221
Transportation and Storage,"Warehousing, transport support",Incidental water service,5222
Transportation and Storage,"Warehousing, transport support",Incidental air service,5223
Transportation and Storage,"Warehousing, transport support",Cargo handling,5224
Transportation and Storage,"Warehousing, transport support",Other support activities,5229
Transportation and Storage,"Postal, courier activities",Under universal service obligation,5310
Transportation and Storage,"Postal, courier activities",Other,5320
Information and Communication,Publishing activities,Books,5811
Information and Communication,Publishing activities,"Directories, mailing lists",5812
Information and Communication,Publishing activities,Newspapers,5813
Information and Communication,Publishing activities,"Journals, periodicals",5814
Information and Communication,Publishing activities,Other publishing activities,5819
Information and Communication,Publishing activities,Computer games,5821
Information and Communication,Publishing activities,Other software,5829
Information and Communication,"Motion picture, video, radio, TV",Production activities,5911
Information and Communication,"Motion picture, video, radio, TV",Post-production activities,5912
Information and Communication,"Motion picture, video, radio, TV",Distribution activities,5913
Information and Communication,"Motion picture, video, radio, TV",Motion picture projection,5914
Information and Communication,"Motion picture, video, radio, TV","Sound recording, music publishing",5920
Information and Communication,"Motion picture, video, radio, TV",Radio broadcasting,6010
Information and Communication,"Motion picture, video, radio, TV","Television programming, broadcasting",6020
Information and Communication,Telecommunications,Wired telecomms activities,6110
Information and Communication,Telecommunications,Wireless telecomms activities,6120
Information and Communication,Telecommunications,Satellite telecomms activities,6130
Information and Communication,Telecommunications,Other,6190
Information and Communication,"Computer programming, consultancy",Programming activities,6201
Information and Communication,"Computer programming, consultancy",Consultancy activities,6202
Information and Communication,"Computer programming, consultancy",Facilities management activities,6203
Information and Communication,"Computer programming, consultancy",Other,6209
Information and Communication,Information service activities,"Data processing, hosting",6311
Information and Communication,Information service activities,Web portals,6312
Information and Communication,Information service activities,News agency activities,6391
Information and Communication,Information service activities,Other,6399
Business services,"Financial, insurance, pension",Central banking,6411
Business services,"Financial, insurance, pension",Other monetary intermediation,6419
Business services,"Financial, insurance, pension",Holding companies activities,6420
Business services,"Financial, insurance, pension","Trusts, funds, similar financial",6430
Business services,"Financial, insurance, pension",Financial leasing,6491
Business services,"Financial, insurance, pension",Other credit granting,6492
Business services,"Financial, insurance, pension",Other financial services nec,6499
Business services,"Financial, insurance, pension",Life insurance,6511
Business services,"Financial, insurance, pension",Non-life insurance,6512
Business services,"Financial, insurance, pension",Reinsurance,6520
Business services,"Financial, insurance, pension",Pension funding,6530
Business services,Auxiliary financial services,Administration of financial markets,6611
Business services,Auxiliary financial services,"Security,commodity contract broking",6612
Business services,Auxiliary financial services,Other financial services,6619
Business services,Auxiliary financial services,Risk and damage evaluation,6621
Business services,Auxiliary financial services,Insurance agents/brokers activities,6622
Business services,Auxiliary financial services,Other insurance & pension services,6629
Business services,Auxiliary financial services,Fund management activities,6630
Business services,Real estate activities ,"Buying, selling own real estate",6810
Business services,Real estate activities,"Renting, operating own or leased ",6820
Business services,Real estate activities,Agencies fee/contract basis,6831
Business services,Real estate activities,Managament of fee/contract basis,6832
Business services,Legal and accounting activities,Legal activities,6910
Business services,Legal and accounting activities,"Accounting, auditing; tax consltcy",6920
Business services,Head offices; mgment consultancy,Head office activities,7010
Business services,Head offices; mgment consultancy,"Public relations, communication",7021
Business services,Head offices; mgment consultancy,"Business, other management",7022
Business services,"Architectural, eng/tech testing",Architectural activities,7111
Business services,"Architectural, eng/tech testing",Engineering/tech consultancy,7112
Business services,"Architectural, eng/tech testing",Technical testing/analysis,7120
Business services,"Scientific research, development",Biotechnology,7211
Business services,"Scientific research, development","Other natural sciences, engineering",7219
Business services,"Scientific research, development","Social sciences, humanities",7220
Business services,"Advertising,market research",Advertising,7310
Business services,"Advertising,market research",Advertising agencies,7311
Business services,"Advertising,market research",Media representation,7312
Business services,"Advertising,market research","Market research, public polling",7320
Business services,"Other professional, scientific/tech",Specialised design activities,7410
Business services,"Other professional, scientific/tech",Photographic activities,7420
Business services,"Other professional, scientific/tech","Translation, interpretation",7430
Business services,"Other professional, scientific/tech",Other,7490
Business services,"Rental, leasing activities","Cars, light motor vehicles",7711
Business services,"Rental, leasing activities",Trucks,7712
Business services,"Rental, leasing activities","Recreational, sports goods",7721
Business services,"Rental, leasing activities","Video tapes,disks",7722
Business services,"Rental, leasing activities","Other personal, household goods",7729
Business services,"Rental, leasing activities","Other machinery, equipment",7730
Business services,"Rental, leasing activities","Agricultural machinery, equipment",7731
Business services,"Rental, leasing activities","Construction machinery, equipment",7732
Business services,"Rental, leasing activities","Office machinery, equipment",7733
Business services,"Rental, leasing activities",Water transport equipment,7734
Business services,"Rental, leasing activities",Air transport equipment,7735
Business services,"Rental, leasing activities","Other machinery, equipment nec",7739
Business services,"Rental, leasing activities",Intellectual property leasing,7740
Business services,Employment activities,Employment placement agencies,7810
Business services,Employment activities,Temporary employment agencies,7820
Business services,Employment activities,Other human resources provision,7830
Business services,"Travel agency, tour operators",Travel agency activities,7911
Business services,"Travel agency, tour operators",Tour operator activities,7912
Business services,"Travel agency, tour operators",Other reservation service,7990
Business services,"Security, investigation activities",Private security,8010
Business services,"Security, investigation activities",Security systems services,8020
Business services,"Security, investigation activities",Investigation activities,8030
Business services,"Buildings, landscape activities",Combined facilities support,8110
Business services,"Buildings, landscape activities",General cleaning of buildings,8121
Business services,"Buildings, landscape activities",Other industrial cleaning,8122
Business services,"Buildings, landscape activities",Other cleaning activities,8129
Business services,"Buildings, landscape activities",Landscape service activities,8130
Business services,"Office admin, business support",Combined office admin service,8211
Business services,"Office admin, business support",Specialised office support,8219
Business services,"Office admin, business support",Activities of call centres,8220
Business services,"Office admin, business support","Convention, trade show organisers",8230
Business services,"Office admin, business support","Collection agencies, credit bureaus",8291
Business services,"Office admin, business support",Packaging activities,8292
Business services,"Office admin, business support",Other,8299
"Government administrative functions, Education, Health",Central/Local Gov. administration,"State, economic and social policy",8410
"Government administrative functions, Education, Health",Central/Local Gov. administration,General public administration,8411
"Government administrative functions, Education, Health",Central/Local Gov. administration,"Health care, education etc",8412
"Government administrative functions, Education, Health",Central/Local Gov. administration,Regulation business efficient ops,8413
"Government administrative functions, Education, Health",Central/Local Gov. administration,Provision of community services,8420
"Government administrative functions, Education, Health",Central/Local Gov. administration,Foreign affairs,8421
"Government administrative functions, Education, Health",Central/Local Gov. administration,Defence activities,8422
"Government administrative functions, Education, Health",Central/Local Gov. administration,"Justice, judicial activities",8423
"Government administrative functions, Education, Health",Central/Local Gov. administration,"Police, public order, safety activ.",8424
"Government administrative functions, Education, Health",Central/Local Gov. administration,Fire service activities,8425
"Government administrative functions, Education, Health",Central/Local Gov. administration,Compulsory social security activities,8430
"Government administrative functions, Education, Health",Education,Pre-primary,8510
"Government administrative functions, Education, Health",Education,Primary,8520
"Government administrative functions, Education, Health",Education,Secondary,8530
"Government administrative functions, Education, Health",Education,General secondary,8531
"Government administrative functions, Education, Health",Education,"Technical, vocational secondary",8532
"Government administrative functions, Education, Health",Education,Higher education,8540
"Government administrative functions, Education, Health",Education,Post-secondary non-tertiary,8541
"Government administrative functions, Education, Health",Education,Tertiary,8542
"Government administrative functions, Education, Health","Sports, recreation education","Sports, recreation education",8551
"Government administrative functions, Education, Health",Other education,Cultural education,8552
"Government administrative functions, Education, Health",Other education,Driving school activities,8553
"Government administrative functions, Education, Health",Other education,Other education nec,8559
"Government administrative functions, Education, Health",Other education,Educational support activities,8560
"Government administrative functions, Education, Health",Human health activities,Hospital activities,8610
"Government administrative functions, Education, Health",Human health activities,"Medical, dental practice activities",8620
"Government administrative functions, Education, Health",Human health activities,General medical practices,8621
"Government administrative functions, Education, Health",Human health activities,Specialist medical practices,8622
"Government administrative functions, Education, Health",Human health activities,Dental practices,8623
"Government administrative functions, Education, Health",Human health activities,Other,8690
"Government administrative functions, Education, Health",Residential care activities,Residential nursing care,8710
"Government administrative functions, Education, Health",Residential care activities,"Learning, mental, substance abuse",8720
"Government administrative functions, Education, Health",Residential care activities,"Elderly, disabled",8730
"Government administrative functions, Education, Health",Residential care activities,Other,8790
"Government administrative functions, Education, Health",Non residential social work,"Elderly, disabled",8810
"Government administrative functions, Education, Health",Non residential social work,Child day-care,8891
"Government administrative functions, Education, Health",Non residential social work,Other,8899
Other Service activities,Accommodation,Hotels and similar,5510
Other Service activities,Accommodation,Holiday and other short stay,5520
Other Service activities,Accommodation,"Camping, vehicle/trailer parks",5530
Other Service activities,Accommodation,Other,5590
Other Service activities,"Food, beverage service","Restaurants, mobile food service",5610
Other Service activities,"Food, beverage service","Event catering, other food service",5620
Other Service activities,"Food, beverage service",Event catering,5621
Other Service activities,"Food, beverage service",Other food service,5629
Other Service activities,"Food, beverage service",Beverage serving,5630
Other Service activities,"Creative, arts and entertainment",Performing arts,9001
Other Service activities,"Creative, arts and entertainment",Performing arts support activities,9002
Other Service activities,"Creative, arts and entertainment",Artistic creation,9003
Other Service activities,"Creative, arts and entertainment",Operation of arts facilities,9004
Other Service activities,"Libraries, archives, museums",Library and archive activities,9101
Other Service activities,"Libraries, archives, museums",Museum activities,9102
Other Service activities,"Libraries, archives, museums",Operating historical sites/buildings,9103
Other Service activities,"Libraries, archives, museums",Botanical/zoo gardens/reserves,9104
Other Service activities,"Gambling, betting","Gambling, betting activities",9200
Other Service activities,Sports activities and recreation,Operation of sports facilities,9311
Other Service activities,Sports activities and recreation,Activities of sport clubs,9312
Other Service activities,Sports activities and recreation,Fitness facilities,9313
Other Service activities,Sports activities and recreation,Other sports activities,9319
Other Service activities,Sports activities and recreation,"Amusement, recreation activities",9320
Other Service activities,Sports activities and recreation,"Amusement parks, theme parks",9321
Other Service activities,Sports activities and recreation,"Other amusement, recreation",9329
Other Service activities,Membership organisations activities,"Business, employers",9411
Other Service activities,Membership organisations activities,Professional,9412
Other Service activities,Membership organisations activities,Trade unions,9420
Other Service activities,Membership organisations activities,Other business,9490
Other Service activities,Membership organisations activities,Religious organisations,9491
Other Service activities,Membership organisations activities,Political organisations,9492
Other Service activities,Membership organisations activities,Other nec,9499
Other Service activities,"Repair computers,personal,household","Computers, communication equipment",9510
Other Service activities,"Repair computers,personal,household","Computers, peripheral equipment",9511
Other Service activities,"Repair computers,personal,household",Communication equipment,9512
Other Service activities,"Repair computers,personal,household",Personal and household goods,9520
Other Service activities,"Repair computers,personal,household",Consumer electronics,9521
Other Service activities,"Repair computers,personal,household",Household/garden appliances/equip,9522
Other Service activities,"Repair computers,personal,household",Footwear and leather goods,9523
Other Service activities,"Repair computers,personal,household","Furniture, home furnishings",9524
Other Service activities,"Repair computers,personal,household","Watches, clocks, jewellery",9525
Other Service activities,"Repair computers,personal,household",Other,9529
Other Service activities,Other personal service activities,Washing and (dry-)cleaning,9601
Other Service activities,Other personal service activities,"Hairdressing, beauty treatment",9602
Other Service activities,Other personal service activities,Funeral and related activities,9603
Other Service activities,Other personal service activities,Physical well-being activities,9604
Other Service activities,Other personal service activities,Other,9609
Other Service activities,Domestic personnel employment,Households as employers,9700
Other Service activities,Undiff. home goods - producing,By households for own use,9810
Other Service activities,Undiff. home service - producing,By households for own use,9820
Other Service activities,Extraterritorial organisations,Activities,9900






















































































































































































































































































































































































































































































































































































































































