"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"118","5520","8520",-0.216681400355521,"Holiday and other short stay","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",10
"119","9329","8520",0.0999179418371515,"Other amusement, recreation","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",20
"120","113","8520",-0.131587612455042,"Vegetables, melons, roots, tubers","Primary","Growing crops","Education","Agriculture, Forestry, Fishing, Veterinary","Government administrative functions, Education, Health",10
"121","4932","8520",0.135729230158701,"Taxi operation","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"122","8560","8520",0.52353930553154,"Educational support activities","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",29
"123","150","8520",0.0630732767173499,"Mixed farming","Primary","Animal production, hunting","Education","Agriculture, Forestry, Fishing, Veterinary","Government administrative functions, Education, Health",11
"124","9004","8520",0.291139094365629,"Operation of arts facilities","Primary","Creative, arts and entertainment","Education","Other Service activities","Government administrative functions, Education, Health",15
"125","9101","8520",0.686587046011834,"Library and archive activities","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",23
"126","8551","8520",0.371107570329804,"Sports, recreation education","Primary","Sports, recreation education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"127","8520","8610",-0.733580158089645,"Primary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",401
"128","8610","8610",1,"Hospital activities","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",15390
"129","4711","8610",-0.622988152969615,"Food, beverages, tobacco mainly","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",257
