Id,Label,timeset,east,east midlands,london,north east,north west,scotland,south east,south west,wales,west midlands,yorkshire and the humber,total,description,log_east,log_east_midlands,log_london,log_north_east,log_north_west,log_scotland,log_south_east,log_south_west,log_wales,log_west_midlands,log_yorkshire_and_the_humber,log_total,%total,%total north west,%total london,lq north west,lq london,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,mainindustry,mainactivity,subactivity,componentnumber,Degree,Weighted Degree,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2813,,,500,700,250,350,1250,2000,2500,2000,40,1250,2500,13340,Manufacture of other pumps and compressors,8.965784,9.451211,7.965784,8.451211,10.287712,10.965784,11.287712,10.965784,5.321928,10.287712,11.287712,13.703471,0.000468,0.000399,0.000051,0.852596,0.109272,94,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",General machinery,"Other pumps, compressors",2,4,3.979254,0,0,0.017695,6,0.280811,0.300185,719.792886
4676,,,2000,2250,2000,1000,2250,1250,3000,1250,350,2250,1500,19100,Wholesale of other intermediate products,10.965784,11.135709,10.965784,9.965784,11.135709,10.287712,11.550747,10.287712,8.451211,11.135709,10.550747,14.221285,0.00067,0.000718,0.000409,1.07186,0.610552,177,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,Other intermediate products,2,1,0.998237,0,0,0.003395,6,0.255864,0.268009,0
8292,,,4500,4000,1000,600,2500,2500,2000,1500,1000,3000,2500,25100,Packaging activities,12.135709,11.965784,9.965784,9.228819,11.287712,11.287712,10.965784,10.550747,9.965784,11.550747,11.287712,14.6154,0.00088,0.000798,0.000204,0.906265,0.232302,306,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,Business services,"Office admin, business support",Packaging activities,2,3,2.802482,0.333333,1,0.056415,5,0.343511,0.372083,359
2351,,,50,700,0,30,300,200,50,10,300,20,150,1810,Manufacture of cement,5.643856,9.451211,,4.906891,8.228819,7.643856,5.643856,3.321928,8.228819,4.321928,7.228819,10.821774,0.000063,0.000096,0,1.508105,0,66,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,All other Manufacturing,Other non-metallic mineral products,Cement,2,3,2.992191,1,3,0.008365,6,0.266075,0.281019,0
2332,,,350,900,20,200,300,35,900,175,35,1000,600,4515,"Manufacture of bricks, tiles and construction products, in baked clay",8.451211,9.813781,4.321928,7.643856,8.228819,5.129283,9.813781,7.451211,5.129283,9.965784,9.228819,12.14051,0.000158,0.000096,0.000004,0.604578,0.025828,64,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,All other Manufacturing,Other non-metallic mineral products,"Bricks, tiles etc in baked clay",2,4,3.985547,0.666667,4,0.009311,6,0.266469,0.28287,2
3250,,,3500,1250,1250,1750,2250,2500,11000,3500,4000,3000,4000,38000,Manufacture of medical and dental instruments and supplies,11.773139,10.287712,10.287712,10.773139,11.135709,11.287712,13.425216,11.773139,11.965784,11.550747,11.965784,15.213712,0.001332,0.000718,0.000256,0.538751,0.191802,111,14,1,9,2,1,1,2,2,2,2,4,5,5,6,5,5,0,1,2,4,All other Manufacturing,Other manufacturing,"Medical, dental instruments",2,5,4.045576,0.2,2,0.084455,5,0.361083,0.392685,538.265649
1020,,,50,200,150,50,500,8000,100,1250,125,300,4000,14725,"Processing and preserving of fish, crustaceans and molluscs",5.643856,7.643856,7.228819,5.643856,8.965784,12.965784,6.643856,10.287712,6.965784,8.228819,11.965784,13.84598,0.000516,0.00016,0.000031,0.308961,0.059397,14,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco","Food products - meat, fish","Fish processing, preserving",2,2,1.85458,1,1,0.057603,5,0.346154,0.372546,0
4638,,,1000,450,3000,450,1500,3000,1750,2000,250,1000,2000,16400,"Wholesale of other food, including fish, crustaceans and molluscs",9.965784,8.813781,11.550747,8.813781,10.550747,11.550747,10.773139,10.965784,7.965784,9.965784,10.965784,14.001408,0.000575,0.000479,0.000613,0.832217,1.066605,160,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Other food,2,4,3.094941,0.5,3,0.112134,5,0.367722,0.39838,38.145833
2712,,,1250,2250,600,1000,2500,800,3000,1750,1250,2250,1250,17900,Manufacture of electricity distribution and control apparatus,10.287712,11.135709,9.228819,9.965784,11.287712,9.643856,11.550747,10.773139,10.287712,11.135709,10.287712,14.127672,0.000628,0.000798,0.000123,1.270796,0.195445,88,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture computer, electronic, light electrical",Electrical equipment,"Electricity distn, control apparatus",2,4,3.376277,0.166667,1,0.06409,5,0.35122,0.380648,319.096799
2711,,,700,2250,250,500,1500,500,2500,2250,350,1250,1500,13550,"Manufacture of electric motors, generators and transformers",9.451211,11.135709,7.965784,8.965784,10.550747,8.965784,11.287712,11.135709,8.451211,10.287712,10.550747,13.726005,0.000475,0.000479,0.000051,1.007258,0.107579,87,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture computer, electronic, light electrical",Electrical equipment,"Electric motors, generators etc",2,3,2.859778,0.333333,1,0.043889,6,0.310345,0.331019,9.69188
3011,,,450,40,50,200,9000,6000,700,6000,300,50,100,22890,Building of ships and floating structures,8.813781,5.321928,5.643856,7.643856,13.135709,12.550747,9.451211,12.550747,8.228819,5.643856,6.643856,14.48243,0.000803,0.002871,0.00001,3.57755,0.012737,106,0,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",Other transport equipment,Ships and floating structures,2,5,4.351317,0.3,3,0.07326,6,0.306383,0.335324,47.737738
3315,,,350,100,15,350,150,800,3000,1500,400,35,350,7050,Repair and maintenance of ships and boats,8.451211,6.643856,3.906891,8.451211,7.228819,9.643856,11.550747,10.550747,8.643856,5.129283,8.451211,12.783408,0.000247,0.000048,0.000003,0.193594,0.012406,114,0,8,6,7,6,5,4,7,5,6,1,4,4,5,4,2,3,5,5,3,Machinery repair excluding motor vehicles,Repair/installation excl. household,Ships and boats,2,2,1.950263,1,1,0.027525,7,0.283912,0.303175,0
1051,,,300,900,1250,250,2500,1250,500,6000,1500,2250,1250,17950,Operation of dairies and cheese making,8.228819,9.813781,10.287712,7.965784,11.287712,10.287712,8.965784,12.550747,10.550747,11.135709,10.287712,14.131696,0.000629,0.000798,0.000256,1.267256,0.406043,18,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco",Food products - other,"Dairies, cheese making",2,4,2.40781,0.166667,1,0.099072,5,0.366599,0.397685,384.659992
4633,,,600,800,1250,175,1250,1500,1750,1250,300,1750,1250,11875,"Wholesale of dairy products, eggs and edible oils and fats",9.228819,9.643856,10.287712,7.451211,10.287712,10.550747,10.773139,10.287712,8.228819,10.773139,10.287712,13.53564,0.000416,0.000399,0.000256,0.957779,0.613766,156,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Dairy products,2,1,0.997933,0,0,0.005333,6,0.268456,0.281157,0
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2.53602,0.666667,2,0.059281,5,0.352941,0.379306,367.340493
2892,,,350,2500,75,2500,200,3500,400,700,30,3000,600,13855,"Manufacture of machinery for mining, quarrying and construction",8.451211,11.287712,6.228819,11.287712,7.643856,11.773139,8.643856,9.451211,4.906891,11.550747,9.228819,13.758119,0.000486,0.000064,0.000015,0.131345,0.031563,99,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",Special purpose machinery,"Mining, quarrying, construction",2,3,2.434087,0,0,0.05858,5,0.348837,0.377083,158.951144
910,,,450,350,225,25,50,21000,125,150,150,25,300,22850,Support activities for petroleum and natural gas extraction,8.813781,8.451211,7.813781,4.643856,5.643856,14.358102,6.965784,7.228819,7.228819,4.643856,8.228819,14.479907,0.000801,0.000016,0.000046,0.01991,0.057415,10,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Mining, Quarrying (inc extraction of petroleum and gas)",Mining support activities,"Petroleum, natural gas extraction",2,2,1.925511,0,0,0.027582,6,0.304054,0.322315,8.126992
3101,,,2250,3000,700,1000,3000,700,1250,1500,1250,1500,2250,18400,Manufacture of office and shop furniture,11.135709,11.550747,9.451211,9.965784,11.550747,9.451211,10.287712,10.550747,10.287712,10.550747,11.135709,14.167418,0.000645,0.000957,0.000143,1.483517,0.221823,108,5,4,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,All other Manufacturing,Furniture,"Office, shop furniture",2,2,1.698443,1,1,0.056239,5,0.342857,0.370231,0
1072,,,500,2500,2250,1000,5000,5000,600,2500,1000,1250,2500,24100,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,8.965784,11.287712,11.135709,9.965784,12.287712,12.287712,9.228819,11.287712,9.965784,10.287712,11.287712,14.556746,0.000845,0.001595,0.00046,1.887739,0.544367,21,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco",Food products - other,"Rusks, biscuits; preserved pastry",2,4,3.537697,0.5,3,0.072611,5,0.351562,0.379954,5.947699
1031,,,1000,1500,800,1000,600,40,800,150,30,900,1750,8570,Processing and preserving of potatoes,9.965784,10.550747,9.643856,9.965784,9.228819,5.321928,9.643856,7.228819,4.906891,9.813781,10.773139,13.065079,0.0003,0.000191,0.000164,0.637029,0.544296,15,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Potato processing, preserving",2,2,1.700928,1,1,0.055902,5,0.342531,0.369769,0
811,,,100,2500,10,225,250,1250,150,1500,400,175,500,7060,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",6.643856,11.287712,3.321928,7.813781,7.965784,10.287712,7.228819,10.550747,8.643856,7.451211,8.965784,12.785452,0.000248,0.00008,0.000002,0.322199,0.008259,9,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other","Ornamental, building stone etc",2,4,3.941135,0.666667,4,0.034013,6,0.307692,0.327824,126.579923
5224,,,1000,500,3000,600,350,700,2000,75,150,100,400,8875,Cargo handling,9.965784,8.965784,11.550747,9.228819,8.451211,9.451211,10.965784,6.228819,7.228819,6.643856,8.643856,13.115531,0.000311,0.000112,0.000613,0.35883,1.970966,221,8,2,2,6,8,8,7,6,7,5,7,7,7,7,6,6,3,5,5,3,Transportation and Storage,"Warehousing, transport support",Cargo handling,2,3,2.96577,0.333333,1,0.014946,6,0.27907,0.295741,5.94002
5222,,,4500,300,1250,1000,1500,4000,4500,3500,1250,400,2500,24700,Service activities incidental to water transportation,12.135709,8.228819,10.287712,9.965784,10.550747,11.965784,12.135709,11.773139,10.287712,8.643856,11.287712,14.592223,0.000866,0.000479,0.000256,0.552565,0.29508,219,8,2,2,6,8,8,7,6,7,7,2,6,6,2,0,5,5,1,2,4,Transportation and Storage,"Warehousing, transport support",Incidental water service,2,2,1.642174,0,0,0.053102,5,0.344168,0.37162,184.134545
1812,,,8000,10000,12000,7000,8000,3500,14000,7000,5000,6000,11000,91500,Other printing,12.965784,13.287712,13.550747,12.773139,12.965784,11.773139,13.773139,12.773139,12.287712,12.550747,13.425216,16.481484,0.003208,0.002552,0.002453,0.795532,0.764692,42,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Printing,Other,2,14,11.520811,0.065934,6,0.151891,5,0.392157,0.431759,2626.128081
1723,,,300,600,125,500,700,300,350,250,75,350,500,4050,Manufacture of paper stationery,8.228819,9.228819,6.965784,8.965784,9.451211,8.228819,8.451211,7.965784,6.228819,8.451211,8.965784,11.983706,0.000142,0.000223,0.000026,1.57265,0.179962,40,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Paper and paper products,Paper stationery,2,1,0.99755,0,0,0.008329,6,0.281911,0.296343,0
1814,,,225,800,800,125,500,225,500,250,125,150,500,4200,Binding and related services,7.813781,9.643856,9.643856,6.965784,8.965784,7.813781,8.965784,7.965784,6.965784,7.228819,8.965784,12.036174,0.000147,0.00016,0.000164,1.083203,1.110624,44,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Printing,"Binding, related services",2,1,0.99755,0,0,0.008329,6,0.281911,0.296343,0
2059,,,900,450,700,1000,3000,2000,2250,200,600,500,800,12400,Manufacture of other chemical products n.e.c.,9.813781,8.813781,9.451211,9.965784,11.550747,10.965784,11.135709,7.643856,9.228819,8.965784,9.643856,13.598053,0.000435,0.000957,0.000143,2.201347,0.329157,53,1,3,4,1,7,7,2,2,2,2,4,5,5,6,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Other chemical products nec,2,4,3.958743,0,0,0.016031,6,0.285261,0.305926,81.05698
4671,,,1750,1750,4000,700,1500,3000,2250,1500,900,1750,1500,20600,"Wholesale of solid, liquid and gaseous fuels and related products",10.773139,10.773139,11.965784,9.451211,10.550747,11.550747,11.135709,10.550747,9.813781,10.773139,10.550747,14.330357,0.000722,0.000479,0.000818,0.662541,1.132189,172,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Fuels, related products",2,4,3.195353,0.333333,2,0.078092,5,0.353635,0.383889,413.678017
1721,,,2500,5000,125,1750,4000,2000,2000,2500,1000,1250,3000,25125,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,11.287712,12.287712,6.965784,10.773139,11.965784,10.965784,10.965784,11.287712,9.965784,10.287712,11.550747,14.616836,0.000881,0.001276,0.000026,1.448581,0.029009,38,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Paper and paper products,"Corrugated paper, containers",2,3,2.505738,0.666667,2,0.061426,5,0.350877,0.379259,92.792155
2229,,,6000,6000,2250,2250,7000,2500,5000,3500,2500,7000,4500,48500,Manufacture of other plastic products,12.550747,12.550747,11.135709,11.135709,12.773139,11.287712,12.287712,11.773139,11.287712,12.773139,12.135709,15.565697,0.0017,0.002233,0.00046,1.313244,0.2705,61,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Rubber and plastic products,Other plastic,2,9,7.918299,0.194444,7,0.107958,5,0.36961,0.404861,1288.266484
2932,,,2000,3500,150,6000,4000,700,3500,3500,7000,20000,4500,54850,Manufacture of other parts and accessories for motor vehicles,10.965784,11.773139,7.228819,12.550747,11.965784,9.451211,11.773139,11.773139,12.773139,14.287712,12.135709,15.743204,0.001923,0.001276,0.000031,0.663548,0.015946,105,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer",Motor vehicle other parts,2,8,7.586715,0.142857,4,0.089889,5,0.36036,0.393657,535.739866
2931,,,700,200,150,150,400,0,450,200,0,700,150,3100,Manufacture of electrical and electronic equipment for motor vehicles,9.451211,7.643856,7.228819,7.228819,8.643856,,8.813781,7.643856,,9.451211,7.228819,11.598053,0.000109,0.000128,0.000031,1.174052,0.282134,104,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer",Motor vehicle electrical/electronic,2,2,1.985128,0,0,0.019771,6,0.293399,0.309769,0.998983
1039,,,2500,5000,2250,300,2500,450,2500,500,250,3000,1250,20500,Other processing and preserving of fruit and vegetables,11.287712,12.287712,11.135709,8.228819,11.287712,8.813781,11.287712,8.965784,7.965784,11.550747,10.287712,14.323336,0.000719,0.000798,0.00046,1.109622,0.639963,17,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Other fruit, vegetable",2,8,7.204262,0.285714,8,0.124493,5,0.366226,0.398704,737.470092
9601,,,2500,2500,6000,450,3000,2250,4500,3000,1500,3000,1250,29950,Washing and (dry-)cleaning of textile and fur products,11.287712,11.287712,12.550747,8.813781,11.550747,11.135709,12.135709,11.550747,10.550747,11.550747,10.287712,14.870268,0.00105,0.000957,0.001227,0.911409,1.168102,356,10,2,2,6,8,8,7,6,7,5,7,7,7,7,6,6,3,5,5,3,Other Service activities,Other personal service activities,Washing and (dry-)cleaning,2,4,2.647487,0,0,0.11768,5,0.375391,0.406019,207.325839
7729,,,3500,600,3500,500,1250,1250,2250,1000,1000,1000,2000,17850,Renting and leasing of other personal and household goods,11.773139,9.228819,11.773139,8.965784,10.287712,10.287712,11.135709,9.965784,9.965784,9.965784,10.965784,14.123636,0.000626,0.000399,0.000715,0.637178,1.143289,288,10,2,2,6,8,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,Business services,"Rental, leasing activities","Other personal, household goods",2,3,2.970524,0,0,0.021824,6,0.304826,0.319722,18.140012
4675,,,2500,2000,2000,700,2500,1750,3000,1250,600,1750,1500,19550,Wholesale of chemical products,11.287712,10.965784,10.965784,9.451211,11.287712,10.773139,11.550747,10.287712,9.228819,10.773139,10.550747,14.254881,0.000685,0.000798,0.000409,1.163542,0.596499,176,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,Chemical products,2,3,2.646403,0.333333,1,0.054362,5,0.344828,0.373704,440.547626
6010,,,75,400,7000,175,500,350,800,225,250,450,400,10625,Radio broadcasting,6.228819,8.643856,12.773139,7.451211,8.965784,8.451211,9.643856,7.813781,7.965784,8.813781,8.643856,13.375175,0.000373,0.00016,0.001431,0.428184,3.841452,241,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,Information and Communication,"Motion picture, video, radio, TV",Radio broadcasting,2,1,0.996689,0,0,0.005668,7,0.251046,0.263135,0
5814,,,5000,1000,21000,500,1250,1250,7000,2500,75,400,400,40375,Publishing of journals and periodicals,12.287712,9.965784,14.358102,8.965784,10.287712,10.287712,12.773139,11.287712,6.228819,8.643856,8.643856,15.301175,0.001416,0.000399,0.004293,0.2817,3.032725,235,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,Information and Communication,Publishing activities,"Journals, periodicals",2,9,8.349261,0.111111,4,0.106085,6,0.334884,0.364861,621.413118
2361,,,1500,3000,150,300,900,1250,1250,900,400,1500,2500,13650,Manufacture of concrete products for construction purposes,10.550747,11.550747,7.228819,8.228819,9.813781,10.287712,10.287712,9.813781,8.643856,10.550747,11.287712,13.736613,0.000479,0.000287,0.000031,0.599928,0.064074,67,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,All other Manufacturing,"Concrete, cement and plaster",Concrete products for construction,2,6,5.194368,0.333333,5,0.084279,5,0.361446,0.392685,1036.82449
4632,,,1500,800,3000,250,3500,1750,2500,1750,450,3500,3000,22000,Wholesale of meat and meat products,10.550747,9.643856,11.550747,7.965784,11.773139,10.773139,11.287712,10.773139,8.813781,11.773139,11.550747,14.425216,0.000771,0.001117,0.000613,1.447553,0.795106,155,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale","Meat, meat products",2,2,1.989479,1,1,0.008787,6,0.259179,0.274074,0
1011,,,2250,3000,225,300,3500,2500,600,2250,2250,2250,3500,22625,Processing and preserving of meat,11.135709,11.550747,7.813781,8.228819,11.773139,11.287712,9.228819,11.135709,11.135709,11.135709,11.773139,14.46563,0.000793,0.001117,0.000046,1.407565,0.057986,11,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco","Food products - meat, fish","Meat processing, preserving",2,5,4.670054,0.5,5,0.065108,5,0.344828,0.375556,168.615211
2110,,,1000,350,450,30,400,600,1500,150,600,150,350,5580,Manufacture of basic pharmaceutical products,9.965784,8.451211,8.813781,4.906891,8.643856,9.228819,10.550747,7.228819,9.228819,7.228819,8.451211,12.446049,0.000196,0.000128,0.000092,0.652251,0.470224,54,14,1,9,2,1,1,2,2,2,2,4,5,5,6,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals",Basic pharmaceutical products,Basic pharmaceutical products,2,1,0.99645,0,0,0.002284,7,0.234987,0.245007,0
2120,,,3500,1750,1500,2250,6000,2500,4000,2250,1750,40,3500,29040,Manufacture of pharmaceutical preparations,11.773139,10.773139,10.550747,11.135709,12.550747,11.287712,11.965784,11.135709,10.773139,5.321928,11.773139,14.825754,0.001018,0.001914,0.000307,1.879938,0.301176,55,14,1,9,2,1,1,2,2,2,2,4,5,5,6,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals",Basic pharmaceutical products,Pharmaceutical preparations,2,6,5.505304,0.133333,2,0.029454,6,0.306905,0.329815,430.614601
2223,,,4000,5000,1750,1250,6000,1750,2250,3000,2500,5000,6000,38500,Manufacture of builders� ware of plastic,11.965784,12.287712,10.773139,10.287712,12.550747,10.773139,11.135709,11.550747,11.287712,12.287712,12.550747,15.232571,0.00135,0.001914,0.000358,1.418011,0.265035,60,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Rubber and plastic products,Builders' ware of plastic,2,5,4.459941,0.5,5,0.077533,5,0.349176,0.379861,225.675763
2512,,,2250,1250,1000,900,2250,800,2000,1500,1250,2250,2000,17450,Manufacture of doors and windows of metal,11.135709,10.287712,9.965784,9.813781,11.135709,9.643856,10.965784,10.550747,10.287712,11.135709,10.965784,14.090939,0.000612,0.000718,0.000204,1.173211,0.334142,73,5,4,3,1,7,7,2,2,2,7,4,6,6,6,5,2,0,1,2,4,All other Manufacturing,Other fabricated metal products,"Doors, windows",2,2,1.991161,0,0,0.008347,6,0.278854,0.293472,2.871983
4614,,,500,800,1000,40,700,225,2250,1000,200,450,250,7415,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",8.965784,9.643856,9.965784,5.321928,9.451211,7.813781,11.135709,9.965784,7.643856,8.813781,7.965784,12.856231,0.00026,0.000223,0.000204,0.858966,0.786349,151,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Machinery, industrial equipment",2,1,0.996276,0,0,0.008288,6,0.273764,0.286759,0
4651,,,2000,2250,6000,300,4000,2250,15000,1250,200,3500,1250,38000,"Wholesale of computers, computer peripheral equipment and software",10.965784,11.135709,12.550747,8.228819,11.965784,11.135709,13.872675,10.287712,7.643856,11.773139,10.287712,15.213712,0.001332,0.001276,0.001227,0.957779,0.920649,168,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,"Wholesale and retail,motor vehicle repair,sale of fuel",Information/comms equip wholesale,"Computers, peripherals, software",2,10,8.185501,0.266667,12,0.158941,5,0.376569,0.410787,710.917328
2041,,,1000,1250,300,450,4000,500,1500,225,350,700,600,10875,"Manufacture of soap and detergents, cleaning and polishing preparations",9.965784,10.287712,8.228819,8.813781,11.965784,8.965784,10.550747,7.813781,8.451211,9.451211,9.228819,13.408728,0.000381,0.001276,0.000061,3.346722,0.160849,51,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products","Soap and detergents, cleaning",2,2,1.977883,1,1,0.033647,6,0.308219,0.325648,0
2042,,,1250,1000,600,500,1500,500,2500,3000,1250,400,1750,14250,Manufacture of perfumes and toilet preparations,10.287712,9.965784,9.228819,8.965784,10.550747,8.965784,11.287712,11.550747,10.287712,8.643856,10.773139,13.798674,0.0005,0.000479,0.000123,0.957779,0.245506,52,10,2,2,8,2,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products","Perfumes, toilet preparations",2,6,4.995262,0.266667,4,0.131733,5,0.379747,0.409722,234.127167
4741,,,2250,1250,3000,600,1500,1000,2500,900,350,800,1250,15400,"Retail sale of computers, peripheral units and software in specialised stores",11.135709,10.287712,11.550747,9.228819,10.550747,9.965784,11.287712,9.813781,8.451211,9.643856,10.287712,13.910643,0.00054,0.000479,0.000613,0.886257,1.135865,188,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - info/comms,"Computers, peripherals, software",2,4,3.46627,0.333333,2,0.05632,6,0.316067,0.343519,49.730501
4765,,,1500,600,1750,400,1250,700,1250,1000,450,1000,800,10700,Retail sale of games and toys in specialised stores,10.550747,9.228819,10.773139,8.643856,10.287712,9.451211,10.287712,9.965784,8.813781,9.965784,9.643856,13.385323,0.000375,0.000399,0.000358,1.062956,0.953631,198,9,6,7,6,8,8,7,6,7,5,7,7,7,7,6,6,3,5,5,3,"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Games, toys",2,4,3.274509,0.666667,4,0.100793,6,0.30303,0.335139,4.850345
2829,,,2000,1500,800,1250,3000,1250,5000,2500,600,3500,3000,24400,Manufacture of other general-purpose machinery n.e.c.,10.965784,10.550747,9.643856,10.287712,11.550747,10.287712,12.287712,11.287712,9.228819,11.773139,11.550747,14.574594,0.000855,0.000957,0.000164,1.118717,0.191173,98,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",General machinery,Other,2,5,4.390916,0.3,3,0.078037,5,0.354331,0.384722,344.141962
5229,,,9000,5000,16000,1250,6000,4000,13000,4000,800,7000,6000,72050,Other transportation support activities,13.135709,12.287712,13.965784,10.287712,12.550747,11.965784,13.666224,11.965784,9.643856,12.773139,12.550747,16.136711,0.002526,0.001914,0.003271,0.757716,1.294829,222,7,7,5,4,4,3,1,4,4,3,5,2,2,1,2,3,4,1,2,4,Transportation and Storage,"Warehousing, transport support",Other support activities,2,5,3.983868,0.6,6,0.093385,5,0.353288,0.383889,359
5020,,,300,0,4000,100,900,400,600,300,100,0,250,6950,Sea and coastal freight water transport,8.228819,,11.965784,6.643856,9.813781,8.643856,9.228819,8.228819,6.643856,,7.965784,12.762797,0.000244,0.000287,0.000818,1.178275,3.355842,215,7,7,5,4,4,3,1,4,4,3,5,2,2,1,2,3,4,1,2,4,Transportation and Storage,Water transport,"Sea, coastal freight transport",2,1,0.995953,0,0,0.005168,6,0.261248,0.273796,0
